[0.34692704 0.39817787 0.08701198 0.14272372 0.01944333 0.88556991
 0.0249607  0.19405535 0.62205668 0.94079744 0.26826234 0.04777955
 0.81759569 0.84079021 0.21636671 0.20173096 0.11423626 0.32128229
 0.73860218 0.11814484 0.73080456 0.33273499 0.10620986 0.29209936
 0.74414391 0.45914893 0.98982309 0.18725964 0.31503772 0.44887249
 0.19456944 0.88823025 0.50902014 0.51889746 0.47916907 0.25979555
 0.61055496 0.80614571 0.41557319 0.28989565 0.93187844 0.80421182
 0.02506092 0.65192247 0.4373499  0.3953905  0.78063403 0.85139422
 0.48058457 0.71699992 0.05188578 0.0123075  0.77561843 0.05576876
 0.78798413 0.11749738 0.8352523  0.51308268 0.32502594 0.22104001
 0.29968763 0.66160293 0.51707744 0.09080528 0.70380328 0.44209038
 0.40856386 0.35235879 0.55437274 0.44899334]
[0.39105589 0.2528554  0.11873931 0.12071956 0.77718241 0.69172317
 0.59788125 0.99320661 0.67223964 0.47724172 0.17884321 0.02674154
 0.77098126 0.88209739 0.06585165 0.80525836 0.51563155 0.65473472
 0.37892282 0.40183352 0.59112918 0.23031973 0.32597777 0.61260423
 0.15017597 0.1025756  0.6199808  0.02807378 0.8810505  0.14056067
 0.68962734 0.95818572 0.41027287 0.91553652 0.7954191  0.16548375
 0.57288124 0.9253484  0.64163661 0.17344515 0.95974569 0.41565687
 0.30843482 0.88457571 0.21360302 0.41988108 0.81565873 0.76726136
 0.24551098 0.85065244 0.87228225 0.06330975 0.3721477  0.07800106
 0.12102628 0.18785134 0.13431977 0.9450654  0.53513637 0.45922797
 0.47753825 0.4959308  0.84504596 0.00500251 0.57418342 0.71367199
 0.09050847 0.69030688 0.76096018 0.01359685]
[0.54746674 0.40737597 0.44227314 0.35153571 0.24231755 0.96079996
 0.4791033  0.33704748 0.02665534 0.92771803 0.27394609 0.11668295
 0.95340269 0.15003238 0.54524318 0.79500477 0.11157872 0.17043195
 0.57557943 0.55866234 0.42732935 0.65834009 0.07252767 0.72791245
 0.06961228 0.72653331 0.54074044 0.60119528 0.71732354 0.92282016
 0.6841659  0.69451428 0.14022339 0.64687316 0.66678278 0.31458694
 0.38279851 0.22240037 0.8101159  0.28182742 0.65449278 0.4441624
 0.72295785 0.99239055 0.10410857 0.96327787 0.38371278 0.90008271
 0.93162226 0.40350714 0.76533803 0.48743734 0.58162635 0.56255446
 0.56961091 0.05637158 0.34741969 0.12311917 0.71791627 0.21280355
 0.83873766 0.72696747 0.59393341 0.86104202 0.45235401 0.68241969
 0.17737588 0.94240919 0.52027772 0.94798862]
